"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1001.0","1004.4","29.3","25.9","82","1.6","180","3.1","170","0.0","0.0","--","0.00","--","0","--"
"02","1000.6","1004.0","28.9","25.5","82","1.6","180","2.7","170","0.0","0.0","--","0.00","--","0","--"
"03","1000.7","1004.1","28.8","24.8","79","2.1","170","4.9","180","0.0","0.0","--","0.00","--","0","--"
"04","1001.5","1004.9","28.6","24.6","79","1.3","190","2.9","190","0.0","0.0","--","0.00","--","0","--"
"05","1002.1","1005.6","28.2","24.8","82","1.1","200","2.9","170","0.0","0.0","--","0.00","--","0","--"
"06","1002.6","1006.1","28.3","24.9","82","2.0","160","3.3","180","0.0","0.0","0.3","0.11","--","0","--"
"07","1002.9","1006.3","29.1","25.1","79","1.0","190","3.5","180","0.0","0.0","1.0","0.67","--","1","--"
"08","1003.0","1006.4","30.2","25.1","74","0.9","170","2.5","180","0.0","0.0","1.0","1.28","50.0","2","5.0"
"09","1003.0","1006.4","31.8","25.2","68","1.3","240","3.0","210","0.0","0.0","0.6","1.46","50.0","3","6.0"
"10","1002.9","1006.3","32.8","25.4","65","0.8","230","4.1","180","0.0","0.0","0.9","2.13","--","5","--"
"11","1002.6","1006.0","34.2","24.8","58","1.8","160","4.6","220","0.0","0.0","0.8","3.00","60.0","8","7.0"
"12","1002.3","1005.7","34.9","25.1","57","1.3","320","4.2","360","0.0","0.0","0.7","3.06","--","9","--"
"13","1002.2","1005.6","35.1","26.5","61","1.0","330","5.8","20","0.0","0.0","0.6","2.63","--","7","--"
"14","1002.2","1005.6","34.0","26.5","65","2.1","340","6.1","350","0.0","0.0","0.6","2.73","50.0","7","9.0"
"15","1002.5","1005.9","33.4","25.7","64","3.2","360","7.4","180","0.0","0.0","0.4","1.74","--","4","--"
"16","1002.7","1006.1","28.4","24.0","77","2.2","160","9.6","120","T","0.3","0.0","0.23","--","1","--"
"17","1003.1","1006.5","29.0","23.0","70","2.6","170","4.7","190","T","0.1","0.0","0.24","25.0","0","8.0"
"18","1003.9","1007.4","28.2","23.4","75","1.5","160","4.9","160","T","0.4","0.0","0.13","--","0","--"
"19","1004.4","1007.9","28.3","24.1","78","1.3","200","3.2","170","0.0","0.0","0.1","0.06","--","0","--"
"20","1004.6","1008.1","28.4","24.6","80","1.4","190","3.6","190","0.0","0.0","--","0.00","--","0","--"
"21","1004.9","1008.4","28.5","24.1","77","1.6","130","3.8","220","0.0","0.0","--","0.00","--","0","--"
"22","1005.2","1008.7","28.8","24.4","77","1.2","220","3.0","130","0.0","0.0","--","0.00","--","0","--"
"23","1004.7","1008.2","28.6","24.2","77","1.9","180","3.5","200","0.0","0.0","--","0.00","--","0","--"
"24","1004.6","1008.1","28.1","24.3","80","1.6","190","3.0","190","0.0","0.0","--","0.00","--","0","--"
