"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1022.6","1026.3","13.0","8.1","72","1.4","100","5.3","90","0.0","0.0","--","0.00","--","0","--"
"02","1022.3","1026.0","13.0","7.5","69","2.0","80","5.1","80","0.0","0.0","--","0.00","--","0","--"
"03","1022.2","1025.9","12.9","6.9","67","2.1","90","5.3","80","0.0","0.0","--","0.00","--","0","--"
"04","1022.3","1026.0","12.9","6.3","64","1.5","100","5.3","80","0.0","0.0","--","0.00","--","0","--"
"05","1022.6","1026.3","12.8","6.4","65","1.4","100","4.6","90","0.0","0.0","--","0.00","--","0","--"
"06","1023.2","1026.9","12.9","6.0","63","1.6","100","3.5","90","0.0","0.0","0.0","0.00","--","0","--"
"07","1023.9","1027.6","12.8","6.2","64","1.3","110","3.8","70","0.0","0.0","0.0","0.01","--","0","--"
"08","1024.4","1028.1","13.1","6.2","63","1.4","100","4.3","60","0.0","0.0","0.0","0.18","13.0","0","8.0"
"09","1024.8","1028.5","13.9","6.8","62","1.9","120","4.7","110","0.0","0.0","0.0","0.61","9.0","1","9.0"
"10","1024.9","1028.6","14.6","6.5","58","2.2","90","8.4","100","0.0","0.0","0.0","0.84","--","2","--"
"11","1024.5","1028.2","14.9","6.5","57","2.1","80","7.5","50","0.0","0.0","0.0","0.92","9.0","3","9.0"
"12","1024.0","1027.7","15.3","6.3","55","1.9","90","6.4","100","0.0","0.0","0.0","1.16","--","3","--"
"13","1023.4","1027.1","15.4","6.4","55","2.6","90","7.8","110","0.0","0.0","0.0","1.38","--","4","--"
"14","1022.7","1026.4","15.9","6.6","54","1.8","80","7.1","110","0.0","0.0","0.0","1.38","9.0","4","9.0"
"15","1022.4","1026.1","15.7","7.2","57","3.2","50","7.9","50","0.0","0.0","0.0","1.07","--","2","--"
"16","1022.4","1026.1","15.5","7.3","58","2.6","80","9.0","90","0.0","0.0","0.0","0.72","--","1","--"
"17","1022.9","1026.6","15.2","7.3","59","2.2","90","7.4","80","0.0","0.0","0.0","0.32","12.0","0","8.0"
"18","1023.4","1027.1","14.9","7.2","60","3.1","90","7.8","40","0.0","0.0","0.0","0.05","--","0","--"
"19","1024.0","1027.7","14.7","7.7","63","2.4","90","6.5","100","0.0","0.0","0.0","0.00","--","0","--"
"20","1024.4","1028.1","14.5","7.8","64","1.7","90","5.4","90","0.0","0.0","--","0.00","--","0","--"
"21","1024.8","1028.5","14.1","8.1","67","1.2","120","3.8","70","0.0","0.0","--","0.00","--","0","--"
"22","1024.9","1028.6","14.0","8.4","69","1.5","90","3.9","80","0.0","0.0","--","0.00","--","0","--"
"23","1024.7","1028.4","13.1","9.0","76","1.3","90","3.3","70","0.0","0.0","--","0.00","--","0","--"
"24","1024.5","1028.2","12.1","9.3","83","0.9","90","3.0","70","0.0","0.0","--","0.00","--","0","--"
