"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1010.9","1014.5","20.2","15.8","76","1.4","150","3.2","120","0.0","0.0","--","0.00","--","0","--"
"02","1010.9","1014.5","19.5","16.0","80","1.0","150","2.2","170","0.0","0.0","--","0.00","--","0","--"
"03","1010.8","1014.4","18.9","16.5","86","0.7","210","1.8","150","0.0","0.0","--","0.00","--","0","--"
"04","1010.7","1014.3","18.6","16.4","87","0.7","190","1.3","140","0.0","0.0","--","0.00","--","0","--"
"05","1010.9","1014.5","18.3","16.5","89","0.4","40","1.2","70","0.0","0.0","--","0.00","--","0","--"
"06","1011.5","1015.1","19.0","16.4","85","0.5","100","2.4","60","0.0","0.0","0.4","0.12","--","0","--"
"07","1011.9","1015.5","20.8","16.6","77","2.0","120","3.9","120","0.0","0.0","1.0","0.74","--","1","--"
"08","1012.4","1015.9","22.8","16.8","69","2.7","100","7.2","110","0.0","0.0","1.0","1.55","45.0","2","4.0"
"09","1012.8","1016.3","24.2","17.0","64","2.6","110","6.9","100","0.0","0.0","1.0","2.31","45.0","4","4.0"
"10","1012.7","1016.2","25.7","14.8","51","2.8","100","9.0","130","0.0","0.0","1.0","3.05","--","7","--"
"11","1012.2","1015.7","26.9","12.9","42","2.6","90","10.0","140","0.0","0.0","1.0","3.42","45.0","9","8.0"
"12","1012.1","1015.6","26.3","13.1","44","4.3","100","10.0","80","0.0","0.0","1.0","3.17","--","9","--"
"13","1011.7","1015.2","26.7","14.5","47","3.6","110","11.0","80","0.0","0.0","1.0","3.54","--","10","--"
"14","1011.3","1014.8","27.2","13.2","42","4.6","100","9.4","110","0.0","0.0","1.0","3.47","60.0","8","2.0"
"15","1011.1","1014.6","27.4","13.4","42","3.8","110","10.2","110","0.0","0.0","1.0","2.93","--","6","--"
"16","1011.1","1014.6","26.6","12.7","42","4.1","100","8.6","80","0.0","0.0","1.0","2.27","--","4","--"
"17","1011.8","1015.3","25.2","11.8","43","4.0","110","10.1","100","0.0","0.0","1.0","1.29","60.0","2","3.0"
"18","1012.7","1016.2","24.4","10.3","41","3.8","110","10.9","100","0.0","0.0","0.9","0.51","--","0","--"
"19","1013.1","1016.6","23.4","15.2","60","1.4","90","7.7","110","0.0","0.0","0.1","0.02","--","0","--"
"20","1013.5","1017.1","23.0","14.6","59","1.2","140","4.6","120","0.0","0.0","--","0.00","--","0","--"
"21","1014.1","1017.7","22.4","12.7","54","1.6","150","3.9","110","0.0","0.0","--","0.00","--","0","--"
"22","1014.7","1018.3","21.4","11.2","52","0.5","210","2.7","170","0.0","0.0","--","0.00","--","0","--"
"23","1014.7","1018.3","20.9","8.2","44","1.1","180","2.4","180","0.0","0.0","--","0.00","--","0","--"
"24","1014.2","1017.8","20.5","9.5","49","1.2","140","2.6","140","0.0","0.0","--","0.00","--","0","--"
