"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1008.0","1011.5","25.1","23.7","92","0.6","40","2.1","50","T","0.2","--","0.00","--","0","--"
"02","1007.7","1011.2","24.9","23.3","91","0.8","200","1.8","210","0.0","0.0","--","0.00","--","0","--"
"03","1007.4","1010.9","24.9","23.3","91","0.5","180","2.3","140","0.0","0.0","--","0.00","--","0","--"
"04","1007.1","1010.6","24.6","23.4","93","0.8","160","1.6","160","0.0","0.0","--","0.00","--","0","--"
"05","1007.3","1010.8","24.7","23.1","91","0.9","260","2.3","230","0.0","0.0","--","0.00","--","0","--"
"06","1008.2","1011.7","25.2","23.1","88","0.9","190","2.0","250","0.0","0.0","0.1","0.12","--","0","--"
"07","1008.8","1012.3","25.8","22.9","84","0.4","190","3.3","150","0.0","0.0","0.1","0.41","--","0","--"
"08","1008.9","1012.4","26.6","22.9","80","0.5","220","1.8","180","0.0","0.0","0.0","0.58","50.0","1","9.0"
"09","1008.8","1012.3","26.9","23.2","80","0.3","140","1.5","240","0.0","0.0","0.0","0.60","50.0","2","9.0"
"10","1008.6","1012.1","27.9","23.5","77","0.5","210","1.4","80","T","0.8","0.0","1.13","--","4","--"
"11","1008.0","1011.5","29.0","23.2","71","0.4","140","2.0","130","T","0.3","0.0","1.53","30.0","5","9.0"
"12","1007.8","1011.3","29.5","24.2","73","0.5","180","2.0","350","0.0","0.0","0.0","1.09","--","4","--"
"13","1007.6","1011.1","29.8","24.2","72","0.4","150","1.9","170","0.0","0.0","0.0","1.03","--","4","--"
"14","1007.1","1010.5","30.2","23.7","68","0.6","230","2.4","360","T","0.1","0.0","1.10","22.0","4","9.0"
"15","1007.1","1010.6","29.5","24.4","74","0.8","340","3.2","350","T","0.2","0.0","0.86","--","3","--"
"16","1006.7","1010.1","29.8","24.5","73","0.6","300","4.0","340","0.0","0.0","0.0","0.75","--","2","--"
"17","1006.3","1009.8","29.0","23.2","71","1.1","200","3.8","10","0.0","0.0","0.0","0.63","20.0","1","9.0"
"18","1006.2","1009.7","28.7","23.8","75","0.6","220","2.7","180","0.0","0.0","0.0","0.20","--","0","--"
"19","1006.5","1010.0","27.9","23.5","77","0.9","180","3.0","190","0.0","0.0","0.0","0.02","--","0","--"
"20","1006.8","1010.3","27.8","23.8","79","0.5","170","1.8","170","0.0","0.0","--","0.00","--","0","--"
"21","1007.4","1010.9","27.5","24.0","81","0.8","220","1.9","180","0.0","0.0","--","0.00","--","0","--"
"22","1007.7","1011.2","27.2","23.7","81","0.6","160","3.0","180","0.0","0.0","--","0.00","--","0","--"
"23","1007.7","1011.2","26.8","23.5","82","1.0","180","3.3","180","0.0","0.0","--","0.00","--","0","--"
"24","1007.2","1010.7","25.9","23.4","86","0.7","170","3.6","180","T","0.4","--","0.00","--","0","--"
