"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1004.0","1007.4","29.4","27.0","87","0.9","180","1.7","140","0.0","0.0","--","0.00","--","0","--"
"02","1003.8","1007.2","29.3","26.9","87","1.0","200","2.0","140","0.0","0.0","--","0.00","--","0","--"
"03","1003.9","1007.3","29.1","26.7","87","1.4","180","2.8","180","0.0","0.0","--","0.00","--","0","--"
"04","1004.0","1007.4","28.9","26.7","88","1.1","160","2.3","180","0.0","0.0","--","0.00","--","0","--"
"05","1004.4","1007.9","28.7","26.5","88","1.0","200","2.5","180","0.0","0.0","--","0.00","--","0","--"
"06","1004.5","1007.9","29.1","26.3","85","0.6","210","2.4","150","0.0","0.0","0.1","0.13","--","0","--"
"07","1004.8","1008.2","29.6","26.4","83","1.3","160","2.6","190","0.0","0.0","0.9","0.66","--","1","--"
"08","1004.6","1008.0","30.9","26.6","78","0.8","150","3.0","130","0.0","0.0","1.0","1.44","40.0","2","3.0"
"09","1004.3","1007.7","32.8","26.6","70","0.9","250","2.6","230","0.0","0.0","1.0","2.21","50.0","5","3.0"
"10","1004.1","1007.5","34.2","25.1","59","1.2","260","3.7","30","0.0","0.0","0.7","2.17","--","6","--"
"11","1004.0","1007.4","35.2","24.2","53","1.0","260","5.1","300","0.0","0.0","0.8","3.05","50.0","10","5.0"
"12","1003.7","1007.1","35.3","26.4","60","2.2","350","7.0","110","0.0","0.0","0.5","2.59","--","9","--"
"13","1003.3","1006.7","33.7","27.0","68","3.6","40","6.5","360","0.0","0.0","0.3","1.75","--","6","--"
"14","1003.0","1006.4","29.9","27.7","88","4.0","100","8.7","90","13.0","0.9","0.0","0.24","10.0","1","10.0"
"15","1004.1","1007.6","27.4","25.6","90","4.4","200","11.5","90","43.0","1.0","0.0","0.09","--","0","--"
"16","1004.1","1007.6","25.9","24.3","91","2.7","170","9.2","170","0.5","0.9","0.0","0.07","--","0","--"
"17","1004.3","1007.8","26.5","24.0","86","2.3","180","6.9","170","T","0.4","0.0","0.06","11.0","0","9.0"
"18","1004.3","1007.8","26.2","25.0","93","2.6","180","4.9","190","2.0","1.0","0.0","0.04","--","0","--"
"19","1004.8","1008.3","26.1","25.4","96","1.0","160","4.9","180","0.0","0.0","0.1","0.06","--","0","--"
"20","1005.3","1008.8","26.3","24.7","91","1.4","190","3.9","150","0.0","0.0","--","0.00","--","0","--"
"21","1005.8","1009.3","26.9","24.7","88","1.4","110","3.3","190","0.5","0.0","--","0.00","--","0","--"
"22","1006.2","1009.7","26.5","24.5","89","1.6","170","4.3","160","0.0","0.0","--","0.00","--","0","--"
"23","1006.0","1009.5","26.7","24.6","88","1.6","220","3.8","180","0.0","0.0","--","0.00","--","0","--"
"24","1005.6","1009.1","26.9","24.6","87","1.3","170","3.7","200","0.0","0.0","--","0.00","--","0","--"
