"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1001.6","1005.0","28.6","24.2","77","1.7","180","4.0","190","0.0","0.0","--","0.00","--","0","--"
"02","1001.1","1004.5","28.3","24.3","79","1.8","170","3.1","170","0.0","0.0","--","0.00","--","0","--"
"03","1001.0","1004.4","28.0","24.4","81","1.3","200","2.9","190","0.0","0.0","--","0.00","--","0","--"
"04","1001.1","1004.5","28.1","23.9","78","1.0","220","3.6","180","0.0","0.0","--","0.00","--","0","--"
"05","1001.2","1004.7","27.8","23.8","79","1.1","160","2.7","210","0.0","0.0","--","0.00","--","0","--"
"06","1001.9","1005.4","27.8","24.2","81","0.9","160","2.3","240","0.0","0.0","0.0","0.02","--","0","--"
"07","1002.7","1006.2","28.2","24.4","80","1.0","210","2.4","180","0.0","0.0","0.6","0.37","--","0","--"
"08","1003.1","1006.5","29.9","25.2","76","0.6","170","2.1","140","0.0","0.0","1.0","1.04","13.0","1","2.0"
"09","1003.3","1006.7","31.4","25.5","71","0.6","150","2.9","360","0.0","0.0","1.0","1.84","13.0","3","5.0"
"10","1003.4","1006.8","32.0","24.9","66","1.2","190","3.0","350","0.0","0.0","0.5","1.81","--","4","--"
"11","1003.0","1006.4","33.7","25.7","63","0.8","90","3.2","230","0.0","0.0","0.6","2.29","13.0","5","6.0"
"12","1002.4","1005.8","34.1","25.8","62","0.8","300","4.1","350","0.0","0.0","0.8","2.41","--","6","--"
"13","1001.9","1005.3","33.5","26.0","65","0.7","250","4.8","350","0.0","0.0","0.2","1.55","--","4","--"
"14","1001.5","1004.9","28.7","24.7","79","4.2","280","8.0","260","10.5","0.5","0.0","0.42","10.0","1","10.0"
"15","1002.2","1005.7","26.6","25.9","96","3.2","100","9.4","50","29.0","1.0","0.0","0.44","--","1","--"
"16","1002.5","1006.0","27.4","26.2","93","1.9","200","5.8","190","6.5","1.0","0.0","0.16","--","0","--"
"17","1002.6","1006.1","27.0","25.6","92","1.8","190","5.1","180","T","0.1","0.0","0.14","21.0","0","10.0"
"18","1002.7","1006.2","27.5","26.1","92","1.2","220","3.5","180","0.0","0.0","0.0","0.16","--","0","--"
"19","1002.8","1006.3","27.5","26.3","93","1.3","140","2.8","180","0.0","0.0","0.0","0.01","--","0","--"
"20","1003.5","1007.0","27.4","26.2","93","1.2","200","2.3","160","0.0","0.0","--","0.00","--","0","--"
"21","1004.0","1007.5","27.8","26.2","91","1.6","180","3.1","190","0.0","0.0","--","0.00","--","0","--"
"22","1004.4","1007.9","27.4","25.6","90","1.5","180","4.4","180","0.0","0.0","--","0.00","--","0","--"
"23","1004.6","1008.1","26.9","25.7","93","0.8","160","2.6","190","0.0","0.0","--","0.00","--","0","--"
"24","1004.6","1008.1","27.0","24.7","87","2.0","180","3.8","190","0.0","0.0","--","0.00","--","0","--"
