"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1014.0","1017.6","17.1","14.7","86","1.6","200","3.0","200","0.0","0.0","--","0.00","--","0","--"
"02","1014.0","1017.6","16.6","14.8","89","0.5","190","2.4","200","0.0","0.0","--","0.00","--","0","--"
"03","1013.7","1017.3","17.6","15.1","85","1.2","180","2.4","250","0.0","0.0","--","0.00","--","0","--"
"04","1013.6","1017.2","17.0","14.6","86","0.5","160","2.3","170","0.0","0.0","--","0.00","--","0","--"
"05","1014.3","1017.9","17.8","15.6","87","1.4","220","2.2","220","0.0","0.0","--","0.00","--","0","--"
"06","1015.1","1018.7","17.4","16.8","96","3.1","320","6.5","340","2.0","0.9","0.0","0.00","--","0","--"
"07","1016.2","1019.8","17.1","16.3","95","2.4","320","7.2","330","1.0","0.7","0.0","0.00","--","0","--"
"08","1017.4","1021.0","17.3","15.8","91","2.5","310","6.0","330","0.5","0.3","0.0","0.05","15.0","0","10.0"
"09","1018.1","1021.7","17.0","15.9","93","2.0","320","5.2","310","T","0.9","0.0","0.11","7.0","0","10.0"
"10","1018.1","1021.7","16.7","15.2","91","2.9","320","6.8","320","0.5","1.0","0.0","0.17","--","0","--"
"11","1018.1","1021.8","16.1","14.5","90","2.7","330","8.8","320","T","1.0","0.0","0.18","3.5","1","10.0"
"12","1017.9","1021.6","15.9","13.6","86","2.4","330","6.9","320","T","1.0","0.0","0.26","--","1","--"
"13","1017.8","1021.5","14.9","14.0","94","0.7","230","5.7","310","0.5","1.0","0.0","0.19","--","1","--"
"14","1018.0","1021.7","14.7","13.8","94","1.1","300","3.4","300","T","1.0","0.0","0.13","12.0","0","10.0"
"15","1018.4","1022.1","14.6","13.2","91","0.8","250","2.6","320","0.5","1.0","0.0","0.07","--","0","--"
"16","1019.1","1022.8","14.7","10.7","77","2.0","90","5.4","90","0.0","0.0","0.0","0.04","--","0","--"
"17","1020.0","1023.7","14.6","10.8","78","2.8","60","8.3","40","0.0","0.0","0.0","0.01","21.0","0","10.0"
"18","1020.4","1024.1","14.4","9.6","73","2.5","50","7.6","60","0.0","0.0","0.0","0.00","--","0","--"
"19","1020.9","1024.6","14.7","9.5","71","2.1","20","7.2","50","0.0","0.0","0.0","0.00","--","0","--"
"20","1021.1","1024.8","14.3","7.6","64","2.7","50","7.4","90","0.0","0.0","--","0.00","--","0","--"
"21","1021.9","1025.6","14.2","7.0","62","3.8","80","9.1","100","0.0","0.0","--","0.00","--","0","--"
"22","1022.0","1025.7","13.8","5.9","59","3.6","80","9.1","70","0.0","0.0","--","0.00","--","0","--"
"23","1021.8","1025.5","13.7","6.3","61","1.9","90","7.7","90","0.0","0.0","--","0.00","--","0","--"
"24","1021.3","1025.0","13.7","5.6","58","2.5","90","8.5","80","0.0","0.0","--","0.00","--","0","--"
