"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1023.7","1027.4","14.0","10.0","77","2.3","90","5.7","100","0.0","0.0","--","0.00","--","0","--"
"02","1023.0","1026.7","14.1","9.3","73","3.3","90","7.4","110","0.0","0.0","--","0.00","--","0","--"
"03","1023.4","1027.1","14.0","9.3","73","2.6","90","8.2","80","0.0","0.0","--","0.00","--","0","--"
"04","1023.1","1026.8","13.9","9.4","74","2.8","90","7.9","70","0.0","0.0","--","0.00","--","0","--"
"05","1022.5","1026.2","13.8","9.5","75","2.5","110","7.4","80","0.0","0.0","--","0.00","--","0","--"
"06","1022.8","1026.5","13.9","9.8","76","3.2","110","7.3","90","0.0","0.0","0.0","0.00","--","0","--"
"07","1023.7","1027.4","14.0","10.0","77","2.0","80","5.8","100","T","0.1","0.0","0.01","--","0","--"
"08","1024.5","1028.2","14.2","10.2","77","1.5","100","5.2","100","0.0","0.0","0.0","0.04","10.0","0","10.0"
"09","1025.3","1029.0","14.5","10.7","78","1.5","90","4.3","60","T","0.1","0.0","0.06","10.0","0","10.0"
"10","1024.9","1028.6","13.7","11.6","87","1.7","100","5.1","90","T","1.0","0.0","0.20","--","1","--"
"11","1024.5","1028.2","13.9","12.0","88","2.5","100","6.2","70","T","0.2","0.0","0.32","10.0","1","10.0"
"12","1023.2","1026.9","14.1","11.4","84","2.3","90","8.3","80","0.0","0.0","0.0","0.28","--","1","--"
"13","1022.4","1026.1","14.2","11.2","82","1.9","80","7.1","100","0.0","0.0","0.0","0.30","--","1","--"
"14","1022.0","1025.7","14.1","11.3","83","2.0","100","6.2","80","T","0.4","0.0","0.20","9.0","1","10.0"
"15","1021.7","1025.4","13.9","11.8","87","1.8","90","5.4","50","T","1.0","0.0","0.21","--","1","--"
"16","1021.9","1025.6","14.0","11.7","86","2.8","90","6.0","90","0.5","0.2","0.0","0.11","--","0","--"
"17","1022.2","1025.9","13.8","12.0","89","1.7","100","6.0","100","T","0.5","0.0","0.03","8.0","0","10.0"
"18","1022.4","1026.1","14.0","12.1","88","1.7","120","3.8","50","T","0.3","0.0","0.00","--","0","--"
"19","1023.2","1026.9","14.2","12.2","88","1.0","90","3.9","100","0.0","0.0","0.0","0.00","--","0","--"
"20","1023.8","1027.5","14.1","12.5","90","1.4","130","2.9","130","0.0","0.0","--","0.00","--","0","--"
"21","1024.0","1027.7","14.1","12.0","87","2.1","90","5.4","120","T","0.1","--","0.00","--","0","--"
"22","1023.8","1027.5","13.8","11.7","87","2.2","100","6.2","80","T","0.1","--","0.00","--","0","--"
"23","1024.6","1028.3","14.0","11.5","85","1.5","80","6.3","60","0.0","0.0","--","0.00","--","0","--"
"24","1024.8","1028.5","13.5","11.6","88","1.9","110","3.8","110","T","0.4","--","0.00","--","0","--"
