station,target,RMSE,MAE,R2,test_amount
基隆長興路口,borrow_count,7.539561782430063,4.9362377970752975,0.3771441963888127,2184
基隆長興路口,return_count,5.752504999186857,3.9725657202509512,0.13938533759825444,2184
基隆長興路口,net_borrow,8.546683568060685,6.166220463148998,0.36445487220188333,2184
基隆長興路口東側,borrow_count,5.68184485176557,4.249963902666794,0.47321217830522955,2184
基隆長興路口東側,return_count,5.5348667886473395,4.2070427713784655,0.4828026628028661,2184
基隆長興路口東側,net_borrow,3.3127939247110545,2.3135490086897703,0.17127642034185087,2184
捷運公館站(1號出口),borrow_count,8.629662430595955,6.369506167347325,0.5398067323890285,2136
捷運公館站(1號出口),return_count,8.232176840738692,6.043644295790058,0.5307462949593178,2136
捷運公館站(1號出口),net_borrow,3.5031267078018953,2.4446692091350943,0.14326923871268404,2136
捷運公館站(2號出口),borrow_count,43.78416704814545,32.901616461989,0.49655436558529564,2208
捷運公館站(2號出口),return_count,49.32143518865641,33.96453957307172,0.5889466244259574,2208
捷運公館站(2號出口),net_borrow,34.377153104496514,22.239453509609234,0.45152741371243443,2208
捷運公館站(3號出口),borrow_count,30.01139012766515,22.426548803363705,0.4830396867374912,2184
捷運公館站(3號出口),return_count,33.87266373720111,21.846976778778192,0.668175214264696,2184
捷運公館站(3號出口),net_borrow,28.583585376676684,19.10819604362653,0.550620938305632,2184
捷運公館站(4號出口),borrow_count,7.594263312512145,5.67483057889843,0.41961583222321386,2184
捷運公館站(4號出口),return_count,6.964225123477313,5.244105563621839,0.4427590576355631,2184
捷運公館站(4號出口),net_borrow,3.2788327417789946,2.3148222922654877,0.06597067907227117,2184
新生南路三段52號前,borrow_count,3.62184986066631,2.6418912695840024,0.30692702832037044,2160
新生南路三段52號前,return_count,3.472566492950257,2.486095858511223,0.4550085898360071,2160
新生南路三段52號前,net_borrow,3.078345655530945,2.112403978970505,0.19100256585879272,2160
新生南路三段66號前,borrow_count,6.409610048408128,4.438540190338913,0.5170042862684057,2184
新生南路三段66號前,return_count,5.7356628973182895,3.948300831695195,0.6164292251622127,2184
新生南路三段66號前,net_borrow,3.853600168918489,2.583573554155968,0.08053442644703612,2184
新生南路三段82號前,borrow_count,8.434229669577494,6.13284701023315,0.5000273028590515,2160
新生南路三段82號前,return_count,7.390754773876431,5.122126097973443,0.6108668548648741,2160
新生南路三段82號前,net_borrow,5.246582349123824,3.6926177890671203,0.1177973700454773,2160
新生南路三段94巷口,borrow_count,7.113574751268153,5.071108135397641,0.5370028963438216,2184
新生南路三段94巷口,return_count,6.624326791715381,4.649695635805392,0.5737446742584891,2184
新生南路三段94巷口,net_borrow,3.593232877808017,2.5026629607590363,0.07002786946742157,2184
第二學生活動中心,borrow_count,7.5025847227294085,5.3486625088813495,0.44717345498627203,2136
第二學生活動中心,return_count,6.752749093318959,4.699242173596487,0.5612798887694759,2136
第二學生活動中心,net_borrow,5.383530125400794,3.5937082063032024,0.11591782334639178,2136
臺大一號館,borrow_count,6.385507923363957,4.588891822309208,0.39590227431426106,2184
臺大一號館,return_count,4.951189552359022,3.4523191640400728,0.5181445031864453,2184
臺大一號館,net_borrow,5.555249405234345,3.690192950110263,0.06797658338874168,2184
臺大二號館,borrow_count,3.967570869514266,2.4616638487347142,0.4698275978839257,2160
臺大二號館,return_count,3.7793012993527513,2.238849474745701,0.4844469991138355,2160
臺大二號館,net_borrow,2.1885381284238656,1.3345630201171403,0.022947333191208563,2160
臺大五號館西側,borrow_count,7.243561288713246,4.25957385203041,0.6528169400423135,2136
臺大五號館西側,return_count,6.286056372607342,3.5267083387130356,0.7203310461153649,2136
臺大五號館西側,net_borrow,5.15684820521271,2.975590929418668,0.06844373259962966,2136
臺大公館停車場西北側,borrow_count,1.9913874162247085,1.404316830373343,0.21067186443522623,2136
臺大公館停車場西北側,return_count,1.5827182066082837,1.1226591647743411,0.3140294029158943,2136
臺大公館停車場西北側,net_borrow,1.9749532767854505,1.303601591481405,0.06714586661376698,2136
臺大共同教室東南側,borrow_count,7.997711320525733,4.7582725430463855,0.6710719885489483,2112
臺大共同教室東南側,return_count,7.6495503948502845,4.511822846280151,0.6906975591811002,2112
臺大共同教室東南側,net_borrow,3.1353835520936544,1.955586946859636,-0.012270595457105626,2112
臺大凝態館南側,borrow_count,6.27416356573179,4.019230093720481,0.6202780073246501,2160
臺大凝態館南側,return_count,5.938235494598267,3.8236644981506673,0.6223077595089868,2160
臺大凝態館南側,net_borrow,5.329468292210763,3.3368017508698555,0.0829750215603341,2160
臺大動物醫院前,borrow_count,4.632264831515169,3.122134109046723,0.6185032698304369,2160
臺大動物醫院前,return_count,4.40744118023076,3.090951853468608,0.6013039537819624,2160
臺大動物醫院前,net_borrow,3.629220210848703,2.3346899541574846,0.11026704238267226,2160
臺大博理館西側,borrow_count,6.30499300039437,4.164399973567015,0.6137203316987565,2160
臺大博理館西側,return_count,6.402853618975059,4.053885561469934,0.6774666888866064,2160
臺大博理館西側,net_borrow,6.757198244040243,4.256814310727895,0.3467188993407908,2160
臺大博雅館西側,borrow_count,8.436730159559751,5.1009822047819515,0.46371513339029724,2136
臺大博雅館西側,return_count,8.584669905271916,4.958841816951821,0.46548526533686485,2136
臺大博雅館西側,net_borrow,10.770395433232245,6.489322595212281,0.34269095732785226,2136
臺大原分所北側,borrow_count,2.916104339547483,1.8423135301669489,0.5913000451009454,2136
臺大原分所北側,return_count,2.9012545652488626,1.9067834466418911,0.5560957025810318,2136
臺大原分所北側,net_borrow,2.757285520723847,1.6905501075389313,0.22610328840191674,2136
臺大四號館東北側,borrow_count,2.445209961791966,1.5726562233215884,0.3660557903576849,2136
臺大四號館東北側,return_count,2.2575129273720798,1.3154982278374632,0.43058008596752606,2136
臺大四號館東北側,net_borrow,2.112365931948476,1.3197513421112868,0.023404266805894136,2136
臺大國青大樓宿舍前,borrow_count,4.522683644945503,3.358571995783172,0.43892285988024937,2160
臺大國青大樓宿舍前,return_count,4.629815809365647,3.510986851284955,0.3391256483956533,2160
臺大國青大樓宿舍前,net_borrow,3.75135838988095,2.6222274957100455,0.09089669828223912,2160
臺大圖資系館北側,borrow_count,9.381361217240737,5.470970070108389,0.6198282805355262,2136
臺大圖資系館北側,return_count,8.304089214619909,4.900803695252021,0.6442530434733722,2136
臺大圖資系館北側,net_borrow,10.992581936922935,6.678984249716769,0.41459070507701,2136
臺大土木系館,borrow_count,5.495860625760108,3.379071478786379,0.505017235951831,2112
臺大土木系館,return_count,5.031275637082533,3.113917403738923,0.5388100345797557,2112
臺大土木系館,net_borrow,5.49845061912455,3.4135731680966015,0.23733565226725806,2112
臺大大一女舍北側,borrow_count,7.6024021294159345,5.481598431257884,0.41720608196702214,2160
臺大大一女舍北側,return_count,8.085376562508955,5.1241209673114305,0.5370111032645009,2160
臺大大一女舍北側,net_borrow,7.877596275236747,4.945575113060166,0.1519098482586274,2160
臺大天文數學館南側,borrow_count,6.174875804451652,3.891014255071699,0.5878581080371824,2136
臺大天文數學館南側,return_count,5.419588827723023,3.3597181378662433,0.6257649273746473,2136
臺大天文數學館南側,net_borrow,5.377535301770761,3.3077131704446527,0.41593202349251346,2136
臺大女九舍西南側,borrow_count,17.53833533543367,10.746164612678468,0.5827053927410015,2160
臺大女九舍西南側,return_count,17.12418018075131,10.396747681386463,0.65274069273361,2160
臺大女九舍西南側,net_borrow,20.435679591256704,12.341424430114479,0.5162112043530728,2160
