sno,station,date,hour,borrow_count,return_count,net_borrow,borrow_pred,return_pred,net_borrow_pred,inventory,total
500101005,辛亥復興路口西北側,2024-12-01,0,3,8,-5,1.0992054151158295,1.5117836156744153,-0.30869813740952506,16,16
500101005,辛亥復興路口西北側,2024-12-01,1,0,2,-2,2.2938475611431515,1.9062400769459287,0.7547718362356372,16,16
500101005,辛亥復興路口西北側,2024-12-01,2,0,0,0,3.5087460571461264,1.9917620203503799,1.7051938297078275,16,16
500101005,辛亥復興路口西北側,2024-12-01,3,0,0,0,2.103223445506481,1.634358014132233,0.9441514943541798,16,16
500101005,辛亥復興路口西北側,2024-12-01,4,0,1,-1,2.812325232773838,1.6138038893331348,1.507362785828388,16,16
500101005,辛亥復興路口西北側,2024-12-01,5,0,0,0,2.391311125433094,1.9507366872362066,0.8042552052827968,16,16
500101005,辛亥復興路口西北側,2024-12-01,6,0,2,-2,3.784006458206781,4.321051825479258,-0.09499067611810494,16,16
500101005,辛亥復興路口西北側,2024-12-01,7,3,4,-1,5.408978032903527,6.029650160694155,-0.5280860613712314,16,16
500101005,辛亥復興路口西北側,2024-12-01,8,8,10,-2,8.23393997566569,8.439753298174507,-0.30496829355441385,16,16
500101005,辛亥復興路口西北側,2024-12-01,9,15,7,8,10.731099639383217,11.976404176655638,-0.8110092957952219,16,16
500101005,辛亥復興路口西北側,2024-12-01,10,9,16,-7,14.815299580323046,15.028981233392258,0.4653403938052374,16,16
500101005,辛亥復興路口西北側,2024-12-01,11,16,17,-1,18.095892095276387,17.405236782786897,1.1417254451416712,16,16
500101005,辛亥復興路口西北側,2024-12-01,12,26,27,-1,30.619808315206427,28.729284108426373,3.7026515606958155,16,16
500101005,辛亥復興路口西北側,2024-12-01,13,40,34,6,20.01281509219805,19.45722715062271,-1.5573449529783314,16,16
500101005,辛亥復興路口西北側,2024-12-01,14,18,9,9,19.26157416848352,17.89519560969767,-1.5845763278160505,16,16
500101005,辛亥復興路口西北側,2024-12-01,15,13,15,-2,18.01420381904536,17.48361415063984,-1.7475802730714582,16,16
500101005,辛亥復興路口西北側,2024-12-01,16,6,10,-4,18.494887239469826,18.152865765357856,0.07908339073488138,16,16
500101005,辛亥復興路口西北側,2024-12-01,17,22,25,-3,32.301357637116844,33.05765236856133,0.30259085231597677,16,16
500101005,辛亥復興路口西北側,2024-12-01,18,53,46,7,28.547482059562423,25.96305256771394,2.263952219912686,16,16
500101005,辛亥復興路口西北側,2024-12-01,19,20,20,0,28.044509424051007,26.308240135814973,1.7825638543875584,16,16
500101005,辛亥復興路口西北側,2024-12-01,20,5,8,-3,7.887096154168251,8.08604198498275,-0.06297387108178386,16,16
500101005,辛亥復興路口西北側,2024-12-01,21,5,8,-3,7.243691171386332,7.680057206135846,0.1220894289418895,16,16
500101005,辛亥復興路口西北側,2024-12-01,22,2,8,-6,6.615886320306653,6.768424119301272,0.2598855417125983,16,16
500101005,辛亥復興路口西北側,2024-12-01,23,0,0,0,1.4231645554553725,1.3992002868038613,0.030922834161292184,16,16
500101005,辛亥復興路口西北側,2024-12-02,0,4,2,2,1.8072987356239583,2.53829703133715,-0.4930570482280723,16,16
500101005,辛亥復興路口西北側,2024-12-02,1,2,3,-1,1.2405389055005775,1.1194212555799847,-0.012271739678541206,16,16
500101005,辛亥復興路口西北側,2024-12-02,2,0,1,-1,1.1971961584184276,1.4895319596546441,0.1333590005496216,16,16
500101005,辛亥復興路口西北側,2024-12-02,3,0,0,0,1.0492764912421353,1.2086265723952987,-0.10691028318910886,16,16
500101005,辛亥復興路口西北側,2024-12-02,4,0,0,0,1.1057029576958215,1.2990965686518943,0.006912053581426344,16,16
500101005,辛亥復興路口西北側,2024-12-02,5,0,0,0,1.165379057168956,1.511357136943211,-0.08795928618776715,16,16
500101005,辛亥復興路口西北側,2024-12-02,6,4,4,0,6.710698533678538,6.229989656551023,0.2708852651511219,16,16
500101005,辛亥復興路口西北側,2024-12-02,7,16,16,0,15.897507428569009,19.45604245823287,-2.8553995056957455,16,16
500101005,辛亥復興路口西北側,2024-12-02,8,31,23,8,18.421292737980025,18.20465743912396,-0.505447866084899,16,16
500101005,辛亥復興路口西北側,2024-12-02,9,23,19,4,20.542343497057303,19.997971029253033,1.0296947326453783,16,16
500101005,辛亥復興路口西北側,2024-12-02,10,17,16,1,17.55371842773803,18.63779241354736,-0.6588241177771259,16,16
500101005,辛亥復興路口西北側,2024-12-02,11,31,37,-6,21.238586408315108,22.436337546755666,-0.9666559086221669,16,16
500101005,辛亥復興路口西北側,2024-12-02,12,55,54,1,42.67199662333216,39.59618624953269,2.425084417339681,16,16
500101005,辛亥復興路口西北側,2024-12-02,13,39,37,2,21.815616369016208,21.477650584482166,-0.1900997366532721,16,16
500101005,辛亥復興路口西北側,2024-12-02,14,14,14,0,16.811411774363986,17.633245759752523,-0.6073605006881023,16,16
500101005,辛亥復興路口西北側,2024-12-02,15,20,23,-3,16.097810381608085,16.322779120110823,0.21417536981895324,16,16
500101005,辛亥復興路口西北側,2024-12-02,16,23,19,4,17.91098628265014,18.216620948419525,-0.5423546326587014,16,16
500101005,辛亥復興路口西北側,2024-12-02,17,51,49,2,34.16517778041181,33.883563601201,-0.18794407276293457,16,16
500101005,辛亥復興路口西北側,2024-12-02,18,47,48,-1,28.28917469176182,28.299220460213323,-0.05809309146641337,16,16
500101005,辛亥復興路口西北側,2024-12-02,19,36,34,2,31.417225577984357,30.084112552684747,1.1323608289164313,16,16
500101005,辛亥復興路口西北側,2024-12-02,20,18,17,1,7.039439651782175,6.689406949123082,0.21380288299005606,16,16
500101005,辛亥復興路口西北側,2024-12-02,21,3,3,0,7.249005282634815,6.698447244642597,0.3213738121241931,16,16
500101005,辛亥復興路口西北側,2024-12-02,22,8,10,-2,8.640451166950333,8.268464242639716,0.31593188762489705,16,16
500101005,辛亥復興路口西北側,2024-12-02,23,5,4,1,1.4394561337924814,1.6034731156494664,0.14206412056759485,16,16
500101005,辛亥復興路口西北側,2024-12-03,0,0,1,-1,1.506423654540927,1.7024343496281893,-0.007696250549232408,16,16
500101005,辛亥復興路口西北側,2024-12-03,1,0,1,-1,1.5443012328956274,1.929581442742856,-0.10481476794667541,16,16
