station,target,R2_12m,RMSE_12m,MAE_12m,test_n,model_path
基隆長興路口,borrow_count,0.32008659510570703,6.838432061215487,4.590730028962341,743,models/model_基隆長興路口_borrow_count.rds
基隆長興路口,return_count,-0.23268192969678725,5.3093339729521825,3.944031409101604,743,models/model_基隆長興路口_return_count.rds
基隆長興路口,net_borrow,0.36024830387086526,7.524918799244896,5.6650927705241925,743,models/model_基隆長興路口_net_borrow.rds
基隆長興路口東側,borrow_count,0.5184675752017354,5.134737990014021,3.9514301117196515,743,models/model_基隆長興路口東側_borrow_count.rds
基隆長興路口東側,return_count,0.48152714815362685,5.068432263875608,3.9656829182204185,743,models/model_基隆長興路口東側_return_count.rds
基隆長興路口東側,net_borrow,0.11616515948708173,3.361478292067519,2.3615034175117233,743,models/model_基隆長興路口東側_net_borrow.rds
捷運公館站(1號出口),borrow_count,0.6320225716934493,6.258439023776029,4.7779700344188605,743,models/model_捷運公館站(1號出口)_borrow_count.rds
捷運公館站(1號出口),return_count,0.63999337236106,5.738716179319335,4.3051100723513365,743,models/model_捷運公館站(1號出口)_return_count.rds
捷運公館站(1號出口),net_borrow,0.19758633792479208,3.8165403795462987,2.7350335043466543,743,models/model_捷運公館站(1號出口)_net_borrow.rds
捷運公館站(2號出口),borrow_count,0.6347210143134476,31.32197390826625,24.43322178060951,743,models/model_捷運公館站(2號出口)_borrow_count.rds
捷運公館站(2號出口),return_count,0.7140395227406402,37.16701447515934,27.072450196109248,743,models/model_捷運公館站(2號出口)_return_count.rds
捷運公館站(2號出口),net_borrow,0.5332803981035912,30.777827098290093,21.03293640289187,743,models/model_捷運公館站(2號出口)_net_borrow.rds
捷運公館站(3號出口),borrow_count,0.5292281882327208,24.757348403420412,18.68516007976182,743,models/model_捷運公館站(3號出口)_borrow_count.rds
捷運公館站(3號出口),return_count,0.7328727397403296,27.06755481030465,18.21956052541361,743,models/model_捷運公館站(3號出口)_return_count.rds
捷運公館站(3號出口),net_borrow,0.5781344535686257,24.331103195101697,17.318232921606906,743,models/model_捷運公館站(3號出口)_net_borrow.rds
捷運公館站(4號出口),borrow_count,0.47385436013667437,6.274415246696368,4.712378237906239,743,models/model_捷運公館站(4號出口)_borrow_count.rds
捷運公館站(4號出口),return_count,0.5312259421078633,5.600017230105976,4.120278815442962,743,models/model_捷運公館站(4號出口)_return_count.rds
