station,date,hour,borrow_count,return_count,inventory,neighbor_inventory_450m
辛亥復興路口西北側,2024-09-01,0,0.0,3.0,19.0,242.0
辛亥復興路口西北側,2024-09-01,1,1.0,0.0,18.0,240.0
辛亥復興路口西北側,2024-09-01,2,0.0,0.0,18.0,243.0
辛亥復興路口西北側,2024-09-01,3,0.0,0.0,18.0,245.0
辛亥復興路口西北側,2024-09-01,4,0.0,0.0,18.0,245.0
辛亥復興路口西北側,2024-09-01,5,1.0,0.0,17.0,244.0
辛亥復興路口西北側,2024-09-01,6,2.0,1.0,16.0,242.0
辛亥復興路口西北側,2024-09-01,7,4.0,2.0,14.0,237.0
辛亥復興路口西北側,2024-09-01,8,11.0,9.0,12.0,273.0
辛亥復興路口西北側,2024-09-01,9,11.0,15.0,16.0,297.0
辛亥復興路口西北側,2024-09-01,10,11.0,8.0,13.0,308.0
辛亥復興路口西北側,2024-09-01,11,16.0,28.0,25.0,244.0
辛亥復興路口西北側,2024-09-01,12,49.0,39.0,15.0,208.0
辛亥復興路口西北側,2024-09-01,13,31.0,26.0,10.0,204.0
辛亥復興路口西北側,2024-09-01,14,22.0,30.0,18.0,224.0
辛亥復興路口西北側,2024-09-01,15,15.0,20.0,23.0,275.0
辛亥復興路口西北側,2024-09-01,16,16.0,15.0,22.0,265.0
辛亥復興路口西北側,2024-09-01,17,22.0,23.0,23.0,265.0
辛亥復興路口西北側,2024-09-01,18,46.0,33.0,10.0,266.0
辛亥復興路口西北側,2024-09-01,19,25.0,29.0,14.0,246.0
辛亥復興路口西北側,2024-09-01,20,6.0,8.0,16.0,199.0
辛亥復興路口西北側,2024-09-01,21,5.0,5.0,16.0,204.0
辛亥復興路口西北側,2024-09-01,22,5.0,4.0,15.0,210.0
辛亥復興路口西北側,2024-09-01,23,0.0,3.0,18.0,213.0
辛亥復興路口西北側,2024-09-02,0,0.0,2.0,20.0,216.0
辛亥復興路口西北側,2024-09-02,1,0.0,2.0,22.0,215.0
辛亥復興路口西北側,2024-09-02,2,0.0,0.0,22.0,216.0
辛亥復興路口西北側,2024-09-02,3,0.0,0.0,22.0,214.0
辛亥復興路口西北側,2024-09-02,4,1.0,0.0,21.0,213.0
辛亥復興路口西北側,2024-09-02,5,0.0,1.0,22.0,213.0
辛亥復興路口西北側,2024-09-02,6,7.0,4.0,19.0,223.0
辛亥復興路口西北側,2024-09-02,7,24.0,19.0,14.0,272.0
辛亥復興路口西北側,2024-09-02,8,26.0,26.0,14.0,323.0
辛亥復興路口西北側,2024-09-02,9,16.0,17.0,15.0,443.0
辛亥復興路口西北側,2024-09-02,10,14.0,14.0,15.0,483.0
辛亥復興路口西北側,2024-09-02,11,36.0,39.0,18.0,515.0
辛亥復興路口西北側,2024-09-02,12,61.0,61.0,18.0,492.0
辛亥復興路口西北側,2024-09-02,13,34.0,29.0,13.0,536.0
辛亥復興路口西北側,2024-09-02,14,15.0,16.0,14.0,530.0
辛亥復興路口西北側,2024-09-02,15,7.0,8.0,15.0,535.0
辛亥復興路口西北側,2024-09-02,16,21.0,21.0,15.0,403.0
辛亥復興路口西北側,2024-09-02,17,44.0,42.0,13.0,276.0
辛亥復興路口西北側,2024-09-02,18,38.0,38.0,13.0,182.0
辛亥復興路口西北側,2024-09-02,19,32.0,33.0,14.0,180.0
辛亥復興路口西北側,2024-09-02,20,12.0,11.0,13.0,177.0
辛亥復興路口西北側,2024-09-02,21,9.0,9.0,13.0,177.0
辛亥復興路口西北側,2024-09-02,22,4.0,5.0,14.0,179.0
辛亥復興路口西北側,2024-09-02,23,2.0,6.0,18.0,192.0
辛亥復興路口西北側,2024-09-03,0,3.0,3.0,18.0,193.0
辛亥復興路口西北側,2024-09-03,1,2.0,1.0,17.0,194.0
辛亥復興路口西北側,2024-09-03,2,0.0,0.0,17.0,195.0
辛亥復興路口西北側,2024-09-03,3,1.0,0.0,16.0,195.0
辛亥復興路口西北側,2024-09-03,4,1.0,1.0,16.0,195.0
辛亥復興路口西北側,2024-09-03,5,1.0,1.0,16.0,197.0
辛亥復興路口西北側,2024-09-03,6,5.0,7.0,18.0,202.0
辛亥復興路口西北側,2024-09-03,7,25.0,22.0,15.0,266.0
辛亥復興路口西北側,2024-09-03,8,32.0,30.0,13.0,345.0
辛亥復興路口西北側,2024-09-03,9,16.0,15.0,12.0,492.0
辛亥復興路口西北側,2024-09-03,10,16.0,25.0,21.0,576.0
辛亥復興路口西北側,2024-09-03,11,48.0,42.0,15.0,554.0
辛亥復興路口西北側,2024-09-03,12,61.0,60.0,14.0,507.0
辛亥復興路口西北側,2024-09-03,13,30.0,28.0,12.0,523.0
辛亥復興路口西北側,2024-09-03,14,15.0,17.0,14.0,505.0
辛亥復興路口西北側,2024-09-03,15,14.0,14.0,14.0,401.0
辛亥復興路口西北側,2024-09-03,16,14.0,13.0,13.0,287.0
辛亥復興路口西北側,2024-09-03,17,39.0,39.0,13.0,260.0
辛亥復興路口西北側,2024-09-03,18,42.0,41.0,12.0,196.0
辛亥復興路口西北側,2024-09-03,19,32.0,33.0,13.0,190.0
辛亥復興路口西北側,2024-09-03,20,21.0,21.0,13.0,186.0
辛亥復興路口西北側,2024-09-03,21,8.0,8.0,13.0,188.0
辛亥復興路口西北側,2024-09-03,22,8.0,8.0,13.0,197.0
辛亥復興路口西北側,2024-09-03,23,1.0,7.0,19.0,201.0
辛亥復興路口西北側,2024-09-04,0,1.0,0.0,18.0,204.0
辛亥復興路口西北側,2024-09-04,1,0.0,0.0,18.0,205.0
辛亥復興路口西北側,2024-09-04,2,0.0,2.0,20.0,204.0
辛亥復興路口西北側,2024-09-04,3,0.0,0.0,20.0,203.0
